lsoa,N,status
E01030327,16,outside_london
E01021751,16,outside_london
E01030406,16,outside_london
E01030351,16,outside_london
E01017502,16,outside_london
E01016479,16,outside_london
E01023541,16,outside_london
E01016017,16,outside_london
E01032800,16,outside_london
E01023300,16,outside_london
E01034291,16,outside_london
E01033329,15,outside_london
E01030711,15,outside_london
E01024618,15,outside_london
E01033010,15,outside_london
E01023545,15,outside_london
E01024170,15,outside_london
E01033658,15,outside_london
E01030531,15,outside_london
E01023342,15,outside_london
E01016481,15,outside_london
E01023532,15,outside_london
E01030642,15,outside_london
E01016465,15,outside_london
E01033140,15,outside_london
E01023842,15,outside_london
E01021816,15,outside_london
E01023851,15,outside_london
E01030321,15,outside_london
E01024140,15,outside_london
E01030717,15,outside_london
E01023573,15,outside_london
E01021848,15,outside_london
E01023895,15,outside_london
E01021761,15,outside_london
E01021435,15,outside_london
E01010610,15,outside_london
E01023296,15,outside_london
W01000817,15,outside_london
E01024257,14,outside_london
E01023549,14,outside_london
E01021988,14,outside_london
E01030848,14,outside_london
E01030331,14,outside_london
E01021787,14,outside_london
E01024154,14,outside_london
E01016505,14,outside_london
E01016941,14,outside_london
E01030753,14,outside_london
E01023727,14,outside_london
E01015975,14,outside_london
E01030384,14,outside_london
E01024156,14,outside_london
E01030610,14,outside_london
E01023905,14,outside_london
E01030589,14,outside_london
E01024249,14,outside_london
E01016511,14,outside_london
E01017478,14,outside_london
E01024178,14,outside_london
E01015790,14,outside_london
E01021439,14,outside_london
E01030357,14,outside_london
E01030337,13,outside_london
E01030120,13,outside_london
E01016009,13,outside_london
E01016459,13,outside_london
E01024472,13,outside_london
E01030329,13,outside_london
E01021813,13,outside_london
E01021771,13,outside_london
E01015923,13,outside_london
E01030668,13,outside_london
E01015982,13,outside_london
E01024278,13,outside_london
E01030829,13,outside_london
E01024188,13,outside_london
E01023325,13,outside_london
E01030720,13,outside_london
E01030954,13,outside_london
E01030377,13,outside_london
E01030761,13,outside_london
E01015953,13,outside_london
E01021777,13,outside_london
E01024150,13,outside_london
E01023844,13,outside_london
E01021762,13,outside_london
E01033500,13,outside_london
E01033040,13,outside_london
E01016492,13,outside_london
E01023344,13,outside_london
E01023334,13,outside_london
E01030845,13,outside_london
E01017167,13,outside_london
E01035363,13,outside_london
E01035574,13,outside_london
E01034289,13,outside_london
E01024198,13,outside_london
E01030854,12,outside_london
E01033063,12,outside_london
E01024676,12,outside_london
E01030320,12,outside_london
E01021437,12,outside_london
E01016464,12,outside_london
E01016004,12,outside_london
E01023320,12,outside_london
E01015922,12,outside_london
E01021306,12,outside_london
E01016117,12,outside_london
E01023551,12,outside_london
E01016512,12,outside_london
E01024153,12,outside_london
E01021790,12,outside_london
E01023550,12,outside_london
E01030592,12,outside_london
E01023302,12,outside_london
E01023582,12,outside_london
E01023295,12,outside_london
E01024143,12,outside_london
E01028521,12,outside_london
E01023304,12,outside_london
E01030302,12,outside_london
E01023571,12,outside_london
E01021472,12,outside_london
E01030701,12,outside_london
E01015661,12,outside_london
E01030609,12,outside_london
E01021784,12,outside_london
E01023827,12,outside_london
E01024177,12,outside_london
E01033613,12,outside_london
E01016007,12,outside_london
E01024173,12,outside_london
E01016473,12,outside_london
E01023538,12,outside_london
E01024168,12,outside_london
E01023836,12,outside_london
E01017905,12,outside_london
E01034371,12,outside_london
E01033805,12,outside_london
E01024608,11,outside_london
E01016491,11,outside_london
E01021305,11,outside_london
E01015969,11,outside_london
E01030298,11,outside_london
E01030699,11,outside_london
E01023809,11,outside_london
E01030395,11,outside_london
E01024717,11,outside_london
E01023567,11,outside_london
E01023859,11,outside_london
E01030307,11,outside_london
E01030723,11,outside_london
E01030847,11,outside_london
E01022087,11,outside_london
E01016545,11,outside_london
E01021432,11,outside_london
E01021464,11,outside_london
E01030370,11,outside_london
E01016508,11,outside_london
E01016486,11,outside_london
E01021788,11,outside_london
E01023556,11,outside_london
E01016577,11,outside_london
E01024382,11,outside_london
E01023341,11,outside_london
E01024447,11,outside_london
E01030855,11,outside_london
E01030335,11,outside_london
E01016521,11,outside_london
E01030846,11,outside_london
E01016899,11,outside_london
E01030564,11,outside_london
E01030598,11,outside_london
E01023323,11,outside_london
E01022045,11,outside_london
E01023926,11,outside_london
E01030374,11,outside_london
E01015699,11,outside_london
E01017818,11,outside_london
E01030739,11,outside_london
E01023557,11,outside_london
E01020971,11,outside_london
E01023298,11,outside_london
E01015743,11,outside_london
E01030452,11,outside_london
E01032730,11,outside_london
E01015935,11,outside_london
E01035358,11,outside_london
E01034358,11,outside_london
E01033446,10,outside_london
E01021449,10,outside_london
E01023837,10,outside_london
E01023949,10,outside_london
E01024291,10,outside_london
E01032734,10,outside_london
E01023340,10,outside_london
E01024132,10,outside_london
E01023558,10,outside_london
E01030705,10,outside_london
E01015928,10,outside_london
E01023311,10,outside_london
E01023810,10,outside_london
E01016944,10,outside_london
E01017471,10,outside_london
E01030334,10,outside_london
E01030754,10,outside_london
E01016969,10,outside_london
E01021759,10,outside_london
E01033561,10,outside_london
E01023294,10,outside_london
E01021853,10,outside_london
E01023531,10,outside_london
E01024609,10,outside_london
E01023938,10,outside_london
E01023937,10,outside_london
E01029928,10,outside_london
E01033653,10,outside_london
E01015996,10,outside_london
E01023884,10,outside_london
E01023542,10,outside_london
E01023321,10,outside_london
E01030741,10,outside_london
E01021312,10,outside_london
E01016110,10,outside_london
E01024562,10,outside_london
E01016003,10,outside_london
E01030414,10,outside_london
E01017939,10,outside_london
E01017917,10,outside_london
E01024165,10,outside_london
E01023312,10,outside_london
E01016519,10,outside_london
E01023933,10,outside_london
E01021797,10,outside_london
E01030677,10,outside_london
E01024215,10,outside_london
E01015720,10,outside_london
E01024295,10,outside_london
E01013774,10,outside_london
E01016111,10,outside_london
E01023343,10,outside_london
E01023478,10,outside_london
E01030653,10,outside_london
E01016485,10,outside_london
E01016070,10,outside_london
E01021808,10,outside_london
E01023845,10,outside_london
E01023366,10,outside_london
E01024171,10,outside_london
E01030450,10,outside_london
E01023579,10,outside_london
E01030412,10,outside_london
E01015599,10,outside_london
E01023269,10,outside_london
E01024463,10,outside_london
E01029637,10,outside_london
E01023560,10,outside_london
E01024306,10,outside_london
E01023345,10,outside_london
E01031419,10,outside_london
E01021779,10,outside_london
E01035247,10,outside_london
E01034290,10,outside_london
E01035300,10,outside_london
E01033803,10,outside_london
E01035280,10,outside_london
E01035400,10,outside_london
E01035292,10,outside_london
E01021773,9,outside_london
E01030607,9,outside_london
E01033610,9,outside_london
E01021789,9,outside_london
E01033016,9,outside_london
E01016504,9,outside_london
E01015755,9,outside_london
E01015951,9,outside_london
E01032797,9,outside_london
E01016040,9,outside_london
E01016515,9,outside_london
E01030328,9,outside_london
E01021763,9,outside_london
E01030697,9,outside_london
E01031431,9,outside_london
E01024432,9,outside_london
E01009200,9,outside_london
E01030735,9,outside_london
E01015989,9,outside_london
E01024134,9,outside_london
