borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2009,life_expectancy_65_male,16.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 16.1-17"
E09000002,Barking and Dagenham,2009,life_expectancy_birth_female,80.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 80.1-81.1"
E09000002,Barking and Dagenham,2009,life_expectancy_birth_male,76.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2007 to 2009 assigned to END year; higher_is_better; 95% CI 75.5-76.6"
E09000002,Barking and Dagenham,2010,life_expectancy_65_female,19.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 18.9-19.7"
E09000002,Barking and Dagenham,2010,life_expectancy_65_male,16.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 16.4-17.3"
E09000002,Barking and Dagenham,2010,life_expectancy_birth_female,80.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 80.2-81.3"
E09000002,Barking and Dagenham,2010,life_expectancy_birth_male,76.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2008 to 2010 assigned to END year; higher_is_better; 95% CI 75.9-77"
E09000002,Barking and Dagenham,2011,life_expectancy_65_female,19.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 19.4-20.3"
E09000002,Barking and Dagenham,2011,life_expectancy_65_male,17,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 16.6-17.5"
E09000002,Barking and Dagenham,2011,life_expectancy_birth_female,81.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 80.9-81.9"
E09000002,Barking and Dagenham,2011,life_expectancy_birth_male,77.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2009 to 2011 assigned to END year; higher_is_better; 95% CI 76.5-77.7"
E09000002,Barking and Dagenham,2012,life_expectancy_65_female,20,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 19.6-20.4"
E09000002,Barking and Dagenham,2012,life_expectancy_65_male,17.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 16.9-17.8"
E09000002,Barking and Dagenham,2012,life_expectancy_birth_female,81.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 81.2-82.3"
E09000002,Barking and Dagenham,2012,life_expectancy_birth_male,77.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2010 to 2012 assigned to END year; higher_is_better; 95% CI 76.9-78.1"
E09000002,Barking and Dagenham,2013,life_expectancy_65_female,20.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2011 to 2013 assigned to END year; higher_is_better; 95% CI 19.8-20.6"
E09000002,Barking and Dagenham,2013,life_expectancy_65_male,17.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2011 to 2013 assigned to END year; higher_is_better; 95% CI 16.8-17.8"
E09000002,Barking and Dagenham,2013,life_expectancy_birth_female,82.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2011 to 2013 assigned to END year; higher_is_better; 95% CI 81.6-82.7"
E09000002,Barking and Dagenham,2013,life_expectancy_birth_male,77.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2011 to 2013 assigned to END year; higher_is_better; 95% CI 77-78.1"
E09000002,Barking and Dagenham,2014,life_expectancy_65_female,20.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2012 to 2014 assigned to END year; higher_is_better; 95% CI 19.7-20.6"
