borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2013,income_median,21000,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2013,income_taxpayers,77000,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; supplementary
E09000002,Barking and Dagenham,2014,income_mean,25500,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000002,Barking and Dagenham,2014,income_median,21800,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2014,income_taxpayers,74000,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000002,Barking and Dagenham,2015,income_mean,25900,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000002,Barking and Dagenham,2015,income_median,22100,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2015,income_taxpayers,83000,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000002,Barking and Dagenham,2016,income_mean,26700,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000002,Barking and Dagenham,2016,income_median,23300,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2016,income_taxpayers,88000,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000002,Barking and Dagenham,2017,income_mean,27400,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000002,Barking and Dagenham,2017,income_median,23900,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2017,income_taxpayers,85000,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000002,Barking and Dagenham,2018,income_mean,28800,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000002,Barking and Dagenham,2018,income_median,25200,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2018,income_taxpayers,85000,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000002,Barking and Dagenham,2019,income_mean,29400,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000002,Barking and Dagenham,2019,income_median,25700,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2019,income_taxpayers,85000,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000002,Barking and Dagenham,2020,income_mean,30800,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000002,Barking and Dagenham,2020,income_median,26800,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2020,income_taxpayers,87000,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000002,Barking and Dagenham,2021,income_mean,31800,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
E09000002,Barking and Dagenham,2021,income_median,28000,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2021,income_taxpayers,90000,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
E09000002,Barking and Dagenham,2022,income_mean,33300,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; supplementary
E09000002,Barking and Dagenham,2022,income_median,28600,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2022,income_taxpayers,98000,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; supplementary
E09000002,Barking and Dagenham,2023,income_mean,34600,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; supplementary
E09000002,Barking and Dagenham,2023,income_median,29400,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2023,income_taxpayers,106000,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; supplementary
E09000003,Barnet,1999,income_mean,26800,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
