borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000026,Redbridge,2019,imd_barriers_to_housing_and_services_score,28,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000026,Redbridge,2019,imd_education_skills_and_training_score,11.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000026,Redbridge,2019,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000026,Redbridge,2019,imd_health_deprivation_and_disability_score,-0.7,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000026,Redbridge,2019,imd_income_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000026,Redbridge,2019,imd_living_environment_score,25.2,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_barriers_to_housing_and_services_score,19.8,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_education_skills_and_training_score,4,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_health_deprivation_and_disability_score,-1.4,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_income_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2015,imd_living_environment_score,28,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_barriers_to_housing_and_services_score,17.5,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_education_skills_and_training_score,3.5,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_employment_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Employment domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_health_deprivation_and_disability_score,-1.4,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Health Deprivation and Disability domain, average score. Scale: standardised. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_income_score,0.1,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Income domain, average score. Scale: proportion. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000027,Richmond upon Thames,2019,imd_living_environment_score,26.6,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Living Environment domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2015,imd_barriers_to_housing_and_services_score,30.8,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Barriers to Housing and Services domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
E09000028,Southwark,2015,imd_education_skills_and_training_score,13.3,"MHCLG Indices of Deprivation, borough domain summaries",borough (LSOA-derived),"Education, Skills and Training domain, average score. Scale: score. Snapshot year — not a time series. 2015 and 2019 ranks are not methodologically comparable; scores used instead."
