"","lsoa_code","borough","lsoa_name","year","population","crime_type_count","crime_rate_per_1000"
"442","E09000029","Sutton","London Borough",2018,206286,15006,72.74
"443","E09000029","Sutton","London Borough",2019,208516,17181,82.4
"444","E09000029","Sutton","London Borough",2020,209921,19113,91.05
"445","E09000029","Sutton","London Borough",2021,209617,16872,80.49
"446","E09000029","Sutton","London Borough",2022,210369,16929,80.47
"447","E09000029","Sutton","London Borough",2023,212336,16074,75.7
"448","E09000029","Sutton","London Borough",2024,214525,15969,74.44
"449","E09000031","Waltham Forest","London Borough",2011,259742,38667,148.87
"450","E09000031","Waltham Forest","London Borough",2012,263575,11660,44.24
"451","E09000031","Waltham Forest","London Borough",2013,267963,4523,16.88
"452","E09000031","Waltham Forest","London Borough",2014,270606,6954,25.7
"453","E09000031","Waltham Forest","London Borough",2015,274579,14184,51.66
"454","E09000031","Waltham Forest","London Borough",2016,277081,28324,102.22
"455","E09000031","Waltham Forest","London Borough",2017,278105,29102,104.64
"456","E09000031","Waltham Forest","London Borough",2018,279795,29801,106.51
"457","E09000031","Waltham Forest","London Borough",2019,281015,29668,105.57
"458","E09000031","Waltham Forest","London Borough",2020,279527,36330,129.97
"459","E09000031","Waltham Forest","London Borough",2021,278147,30520,109.73
"460","E09000031","Waltham Forest","London Borough",2022,275847,29509,106.98
"461","E09000031","Waltham Forest","London Borough",2023,278506,30154,108.27
"462","E09000031","Waltham Forest","London Borough",2024,279737,31906,114.06
